A_id,B_id
480,938
480,2170
498,256
498,1792
498,2170
498,2535
51,1550
528,2089
552,2066
561,1126
588,1042
627,2562
672,1725
675,2708
684,1108
693,2698
693,2535
702,1792
702,154
705,1401
720,1840
723,1196
723,1792
732,2535
732,1792
750,1550
801,38
801,1501
813,1792
813,2535
837,301
840,2847
840,1591
843,923
843,1792
843,1668
843,2129
855,1900
855,84
882,2847
906,1830
912,1550
939,1550
960,1668
960,923
960,2535
963,1447
978,2496
984,2319
1,1591
1009,1046
1009,2178
1015,1792
1024,1522
1027,2150
103,1442
1069,988
1114,101
1150,2089
1186,2744
1237,107
1252,1591
127,1563
127,1322
127,163
127,2248
127,2209
1282,2000
1291,2359
1303,545
1333,2219
1342,2098
136,2998
1363,2930
1369,644
1369,821
1390,2484
1408,2990
1423,1419
1426,1522
1441,1817
1444,1457
1450,590
1453,1227
1480,938
1480,1306
1492,1269
1501,2070
1519,2847
1522,2535
1534,20
16,697
160,2658
160,989
160,878
160,1148
160,1538
160,778
160,746
1615,1947
1624,1382
163,938
163,1792
1639,1089
1678,208
1678,2937
1681,938
1699,1436
1702,2630
1708,2462
1711,1550
1723,1550
1723,628
1723,5
1723,2076
1741,58
1741,1532
175,534
1750,1993
1765,2535
1813,216
1825,1020
1858,2209
1858,2248
1858,163
1858,1322
1858,1563
1864,38
1876,2535
1876,1725
1885,2449
1900,2089
1930,1809
1933,1591
1933,2847
1942,592
1951,844
1960,423
1984,1550
1993,2973
1993,697
2002,1089
202,1501
202,2117
2053,2535
2056,2196
2059,2066
2086,2535
2086,1792
2089,2005
2098,1342
2128,1245
2134,2532
2134,2240
2134,1550
2155,2089
2179,2708
2188,2066
2200,2535
2200,2127
2206,1304
2206,2771
2239,2535
2239,1792
2242,970
2242,1515
2242,1247
2242,1723
2266,1306
2272,909
2281,1792
2281,2535
2308,2089
2308,2606
2311,1591
232,1591
2329,2397
2356,2535
2356,1570
2356,1792
2380,2066
2383,1417
2383,1609
2383,579
2383,1106
2383,1267
2383,1287
2383,481
2383,63
2425,788
2425,921
2440,1690
2446,2847
2449,1960
2455,111
2473,1306
2476,2679
2488,2117
2500,545
2515,1591
2521,2535
2521,2206
2521,1792
2545,938
2560,2170
2569,2535
2569,1792
2569,889
2587,2196
2590,2606
2590,1227
2602,1809
2611,2847
2611,2169
2611,1792
2635,1089
2644,2708
2665,1401
2683,2129
2692,2973
2692,697
2713,2708
2722,1758
2722,889
2722,2535
2752,2476
2755,904
2773,2535
2773,2847
2773,1792
2782,2375
2785,2259
2785,2983
2785,1837
2785,1720
2785,1689
2785,1403
2791,1668
28,489
2824,2702
2839,1578
2851,1734
2851,1550
286,2127
2860,2022
2860,885
2860,588
2881,2417
2881,644
289,1525
2896,2810
2908,1800
2944,1725
2944,2535
2947,216
2962,1550
2968,903
2992,2179
2998,1486
3007,1310
301,2089
3013,2535
3019,2089
304,2618
3040,1591
3040,2847
3040,2606
3046,1792
3046,2206
3046,2535
319,491
325,1792
325,889
325,2535
325,2183
328,1591
334,2806
337,2535
337,1792
34,2847
34,1245
34,1591
349,711
37,844
388,2100
421,1792
421,2535
430,1734
430,1550
436,2535
475,1792
475,2496
475,2535
505,2535
514,1792
514,1261
532,291
559,2179
568,2098
58,224
589,1792
61,1687
622,1734
622,1550
637,2708
652,1401
667,2644
670,2535
673,118
691,2606
691,1792
718,697
724,2708
730,1089
739,101
742,111
76,642
823,800
823,1679
823,2842
835,923
844,1501
871,923
871,58
877,1900
91,2708
928,2870
928,590
94,2036
949,500
964,2179
0,2676
103,1442
1107,1777
1186,2744
1107,2423
2786,667
1099,1208
2790,1014
1578,1591
1402,317
1193,2606
906,1830
2383,1417
110,2114
2733,1956
1183,2298
698,2149
1639,1089
2358,1296
1369,644
448,216
2206,1372
1486,2196
2655,1211
182,2424
842,2554
632,988
1758,889
1478,908
2056,2196
134,1089
1398,1089
36,2196
2655,1331
1797,2975
2134,2240
1541,2535
344,1110
1009,1046
1751,778
1751,2658
1031,767
134,2196
2089,2005
1750,1993
1895,970
1142,38
2084,926
2474,1725
33,1689
984,2319
1143,2772
2729,1395
125,2493
1025,2442
2383,481
1964,1207
2211,889
504,2782
2784,1089
248,541
1665,1089
182,1359
